VFD Motor Startup Simulation Data
Generated:,2025-10-10 12:38:24
Motor Rating:,800 HP
Load Type:,constant_torque

Time (s),Frequency (Hz),Speed (RPM),Slip (%),Torque (Nm),Load Torque (Nm),Current (A),Power Output (kW),Power Input (kW),Efficiency (%)
29.309,58.62,1688.7,3.98,3618.5,2341.1,1029.0,413.99,721.46,57.4
29.339,58.68,1690.4,3.97,3620.5,2342.8,1029.5,414.72,721.84,57.5
29.369,58.74,1692.2,3.97,3622.6,2344.5,1030.1,415.45,722.22,57.5
29.399,58.80,1694.0,3.97,3624.6,2346.1,1030.6,416.18,722.60,57.6
29.429,58.86,1695.7,3.97,3626.7,2347.8,1031.2,416.91,722.98,57.7
29.459,58.92,1697.5,3.96,3628.7,2349.5,1031.7,417.65,723.36,57.7
29.489,58.98,1699.3,3.96,3630.8,2351.2,1032.2,418.38,723.74,57.8
29.520,59.04,1701.0,3.96,3632.8,2352.9,1032.8,419.11,724.12,57.9
29.550,59.10,1702.8,3.96,3634.9,2354.5,1033.3,419.85,724.50,57.9
29.580,59.16,1704.5,3.96,3636.9,2356.2,1033.9,420.58,724.88,58.0
29.610,59.22,1706.3,3.95,3639.0,2357.9,1034.4,421.32,725.27,58.1
29.640,59.28,1708.1,3.95,3641.0,2359.6,1035.0,422.06,725.65,58.2
29.670,59.34,1709.8,3.95,3643.1,2361.3,1035.5,422.79,726.03,58.2
29.700,59.40,1711.6,3.95,3645.1,2362.9,1036.0,423.53,726.41,58.3
29.730,59.46,1713.4,3.95,3647.2,2364.6,1036.6,424.27,726.79,58.4
29.760,59.52,1715.1,3.95,3649.2,2366.3,1037.1,425.01,727.17,58.4
29.790,59.58,1716.9,3.94,3651.3,2368.0,1037.7,425.75,727.55,58.5
29.820,59.64,1718.7,3.94,3653.3,2369.7,1038.2,426.49,727.93,58.6
29.850,59.70,1720.4,3.94,3655.4,2371.3,1038.8,427.23,728.31,58.7
29.880,59.76,1722.2,3.94,3657.4,2373.0,1039.3,427.97,728.69,58.7
29.910,59.82,1724.0,3.94,3659.5,2374.7,1039.8,428.71,729.07,58.8
29.940,59.88,1725.7,3.93,3661.5,2376.4,1040.4,429.46,729.45,58.9
29.970,59.94,1727.5,3.93,3663.6,2378.1,1040.9,430.20,729.83,58.9
30.000,60.00,1729.3,3.93,3665.6,2379.7,1041.5,430.94,730.21,59.0
